RprtDt,StateCd,SrvcDstrctNm,PrtcpntCnt
30-Jun-19,SA,Eastern Adelaide,167
30-Jun-19,SA,Eyre and Western,30
30-Jun-19,SA,Far North (SA),20
30-Jun-19,SA,Fleurieu and Kangaroo Island,40
30-Jun-19,SA,Limestone Coast,45
30-Jun-19,SA,Murray and Mallee,88
30-Jun-19,SA,Northern Adelaide,590
30-Jun-19,SA,Southern Adelaide,608
30-Jun-19,SA,Western Adelaide,142
30-Jun-19,SA,Yorke and Mid North,40
30-Jun-19,TAS,TAS North,131
30-Jun-19,TAS,TAS North West,123
30-Jun-19,TAS,TAS South East,74
30-Jun-19,TAS,TAS South West,152
30-Jun-19,VIC,Barwon,203
30-Jun-19,VIC,Bayside Peninsula,636
30-Jun-19,VIC,Brimbank Melton,121
30-Jun-19,VIC,Central Highlands,191
30-Jun-19,VIC,Goulburn,68
30-Jun-19,VIC,Hume Moreland,142
30-Jun-19,VIC,Inner East Melbourne,648
30-Jun-19,VIC,Inner Gippsland,125
30-Jun-19,VIC,Loddon,216
30-Jun-19,VIC,Mallee,76
30-Jun-19,VIC,North East Melbourne,600
30-Jun-19,VIC,Outer East Melbourne,357
30-Jun-19,VIC,Outer Gippsland,59
30-Jun-19,VIC,Ovens Murray,116
30-Jun-19,VIC,Southern Melbourne,185
30-Jun-19,VIC,Western District,247
30-Jun-19,VIC,Western Melbourne,125
30-Jun-19,WA,Central North Metro,16
30-Jun-19,WA,Central South Metro,46
30-Jun-19,WA,North East Metro,315
30-Jun-19,WA,North Metro,20
30-Jun-19,WA,South East Metro,14
30-Jun-19,WA,South Metro,54
30-Jun-19,WA,WA - Other,11
31-Mar-19,ACT,ACT,13
31-Mar-19,NSW,Central Coast,146
31-Mar-19,NSW,Far West,16
31-Mar-19,NSW,Hunter New England,696
31-Mar-19,NSW,Illawarra Shoalhaven,297
31-Mar-19,NSW,Mid North Coast,134
31-Mar-19,NSW,Murrumbidgee,239
31-Mar-19,NSW,Nepean Blue Mountains,318
31-Mar-19,NSW,North Sydney,601
31-Mar-19,NSW,Northern NSW,142
31-Mar-19,NSW,South Eastern Sydney,349
31-Mar-19,NSW,South Western Sydney,377
31-Mar-19,NSW,Southern NSW,130
31-Mar-19,NSW,Sydney,283
31-Mar-19,NSW,Western NSW,286
31-Mar-19,NSW,Western Sydney,589
31-Mar-19,NT,Central Australia,61
31-Mar-19,NT,Darwin Urban,88
31-Mar-19,NT,Katherine,17
31-Mar-19,NT,NT - Other,<11
31-Mar-19,QLD,Beenleigh,278
31-Mar-19,QLD,Brisbane,166
31-Mar-19,QLD,Bundaberg,49
31-Mar-19,QLD,Cairns,29
31-Mar-19,QLD,Ipswich,209
31-Mar-19,QLD,Mackay,20
31-Mar-19,QLD,Maryborough,53
31-Mar-19,QLD,QLD - Other,<11
31-Mar-19,QLD,Robina,25
31-Mar-19,QLD,Rockhampton,69
31-Mar-19,QLD,Toowoomba,220
31-Mar-19,QLD,Townsville,65
31-Mar-19,SA,Adelaide Hills,37
31-Mar-19,SA,"Barossa, Light and Lower North",25
31-Mar-19,SA,Eastern Adelaide,129
31-Mar-19,SA,Eyre and Western,29
31-Mar-19,SA,Far North (SA),19
31-Mar-19,SA,Fleurieu and Kangaroo Island,38
31-Mar-19,SA,Limestone Coast,46
31-Mar-19,SA,Murray and Mallee,82
31-Mar-19,SA,Northern Adelaide,537
31-Mar-19,SA,Southern Adelaide,590
31-Mar-19,SA,Western Adelaide,121
31-Mar-19,SA,Yorke and Mid North,37
31-Mar-19,TAS,TAS North,140
31-Mar-19,TAS,TAS North West,139
31-Mar-19,TAS,TAS South East,79
31-Mar-19,TAS,TAS South West,167
31-Mar-19,VIC,Barwon,182
31-Mar-19,VIC,Bayside Peninsula,572
31-Mar-19,VIC,Brimbank Melton,81
