SA2_NAME16,total_pop,ancestry_1,ancestry_2,total_ancestry,pop_prop,sa3_name_2016,sa4_name_2016,focus_area,greater_syd_pop,greater_syd_average_south_asian,area_diff
Erskine Park,6440,284,57,341,0.05295031055900621,St Marys,Sydney - Outer West and Blue Mountains,Greater Sydney,4495958,0.07729520604952271,-0.0243448954905165
St Clair,19895,876,164,1040,0.052274440814274944,St Marys,Sydney - Outer West and Blue Mountains,Greater Sydney,4495958,0.07729520604952271,-0.025020765235247766
Rosemeadow - Glen Alpine,20876,932,157,1089,0.052165165740563325,Campbelltown (NSW),Sydney - Outer South West,Greater Sydney,4495958,0.07729520604952271,-0.025130040308959385
Asquith - Mount Colah,18291,788,134,922,0.05040730413864742,Hornsby,Sydney - North Sydney and Hornsby,Greater Sydney,4495958,0.07729520604952271,-0.02688790191087529
Riverwood,11277,514,54,568,0.050368005675268245,Hurstville,Sydney - Inner South West,Greater Sydney,4495958,0.07729520604952271,-0.026927200374254466
Lane Cove - Greenwich,26733,1125,221,1346,0.050349754984476115,Chatswood - Lane Cove,Sydney - North Sydney and Hornsby,Greater Sydney,4495958,0.07729520604952271,-0.026945451065046595
Dee Why - North Curl Curl,24949,1088,167,1255,0.05030261733937232,Warringah,Sydney - Northern Beaches,Greater Sydney,4495958,0.07729520604952271,-0.026992588710150388
Crows Nest - Waverton,18026,780,126,906,0.05026073449461888,North Sydney - Mosman,Sydney - North Sydney and Hornsby,Greater Sydney,4495958,0.07729520604952271,-0.02703447155490383
Wahroonga (East) - Warrawee,17822,802,93,895,0.05021883065873639,Ku-ring-gai,Sydney - North Sydney and Hornsby,Greater Sydney,4495958,0.07729520604952271,-0.02707637539078632
Croydon Park - Enfield,17222,766,94,860,0.04993612820810591,Strathfield - Burwood - Ashfield,Sydney - Inner West,Greater Sydney,4495958,0.07729520604952271,-0.0273590778414168
Castlereagh - Cranebrook,23724,1009,165,1174,0.04948575282414432,Penrith,Sydney - Outer West and Blue Mountains,Greater Sydney,4495958,0.07729520604952271,-0.027809453225378387
Canterbury (North) - Ashbury,10449,406,87,493,0.047181548473538136,Strathfield - Burwood - Ashfield,Sydney - Inner West,Greater Sydney,4495958,0.07729520604952271,-0.030113657575984575
Claymore - Eagle Vale - Raby,20405,784,175,959,0.04699828473413379,Campbelltown (NSW),Sydney - Outer South West,Greater Sydney,4495958,0.07729520604952271,-0.03029692131538892
Pyrmont - Ultimo,21655,921,92,1013,0.046779034864927266,Sydney Inner City,Sydney - City and Inner South,Greater Sydney,4495958,0.07729520604952271,-0.030516171184595445
Narwee - Beverly Hills,13781,585,53,638,0.04629562441042014,Hurstville,Sydney - Inner South West,Greater Sydney,4495958,0.07729520604952271,-0.030999581639102568
Cecil Hills,7015,265,48,313,0.04461867426942267,Bringelly - Green Valley,Sydney - South West,Greater Sydney,4495958,0.07729520604952271,-0.03267653178010004
Padstow,16475,626,91,717,0.04352048558421851,Bankstown,Sydney - Inner South West,Greater Sydney,4495958,0.07729520604952271,-0.0337747204653042
Sydney - Haymarket - The Rocks,27408,1084,70,1154,0.042104495037945125,Sydney Inner City,Sydney - City and Inner South,Greater Sydney,4495958,0.07729520604952271,-0.035190711011577586
Gordon - Killara,21328,783,105,888,0.041635408852213056,Ku-ring-gai,Sydney - North Sydney and Hornsby,Greater Sydney,4495958,0.07729520604952271,-0.035659797197309655
Mulgoa - Luddenham - Orchard Hills,9541,340,56,396,0.041505083324599096,Penrith,Sydney - Outer West and Blue Mountains,Greater Sydney,4495958,0.07729520604952271,-0.035790122724923615
Kingsford,15602,574,64,638,0.040892193308550186,Eastern Suburbs - South,Sydney - Eastern Suburbs,Greater Sydney,4495958,0.07729520604952271,-0.036403012740972525
Concord - Mortlake - Cabarita,21742,729,142,871,0.04006071198601784,Canada Bay,Sydney - Inner West,Greater Sydney,4495958,0.07729520604952271,-0.03723449406350487
Neutral Bay - Kirribilli,17852,610,73,683,0.03825901859735604,North Sydney - Mosman,Sydney - North Sydney and Hornsby,Greater Sydney,4495958,0.07729520604952271,-0.03903618745216667
Turramurra,19267,625,105,730,0.03788861784398194,Ku-ring-gai,Sydney - North Sydney and Hornsby,Greater Sydney,4495958,0.07729520604952271,-0.03940658820554077
Marrickville,26540,848,152,1000,0.037678975131876416,Marrickville - Sydenham - Petersham,Sydney - City and Inner South,Greater Sydney,4495958,0.07729520604952271,-0.039616230917646295
Putney,4143,108,47,155,0.03741250301713734,Ryde - Hunters Hill,Sydney - Ryde,Greater Sydney,4495958,0.07729520604952271,-0.03988270303238537
St Ives,20456,650,110,760,0.037152913570590536,Ku-ring-gai,Sydney - North Sydney and Hornsby,Greater Sydney,4495958,0.07729520604952271,-0.040142292478932175
Monterey - Brighton-le-Sands - Kyeemagh,13972,452,63,515,0.036859433152018325,Kogarah - Rockdale,Sydney - Inner South West,Greater Sydney,4495958,0.07729520604952271,-0.040435772897504385
Yagoona - Birrong,20706,661,83,744,0.035931614024920316,Bankstown,Sydney - Inner South West,Greater Sydney,4495958,0.07729520604952271,-0.041363592024602394
Haberfield - Summer Hill,13474,417,65,482,0.03577259907970907,Strathfield - Burwood - Ashfield,Sydney - Inner West,Greater Sydney,4495958,0.07729520604952271,-0.04152260696981364
Lindfield - Roseville,23147,701,122,823,0.035555363546031886,Ku-ring-gai,Sydney - North Sydney and Hornsby,Greater Sydney,4495958,0.07729520604952271,-0.041739842503490825
Randwick - South,13113,368,88,456,0.034774651109585906,Eastern Suburbs - South,Sydney - Eastern Suburbs,Greater Sydney,4495958,0.07729520604952271,-0.042520554939936804
Glenhaven,6253,170,42,212,0.03390372621141852,Baulkham Hills,Sydney - Baulkham Hills and Hawkesbury,Greater Sydney,4495958,0.07729520604952271,-0.043391479838104194
Panania - Milperra - Picnic Point,25788,738,130,868,0.033659066232356136,Bankstown,Sydney - Inner South West,Greater Sydney,4495958,0.07729520604952271,-0.043636139817166575
Ashcroft - Busby - Miller,17335,473,101,574,0.03311220074992789,Bringelly - Green Valley,Sydney - South West,Greater Sydney,4495958,0.07729520604952271,-0.04418300529959482
Sydenham - Tempe - St Peters,7840,200,59,259,0.033035714285714286,Marrickville - Sydenham - Petersham,Sydney - City and Inner South,Greater Sydney,4495958,0.07729520604952271,-0.044259491763808424
Dulwich Hill - Lewisham,16809,436,108,544,0.032363614730204056,Strathfield - Burwood - Ashfield,Sydney - Inner West,Greater Sydney,4495958,0.07729520604952271,-0.044931591319318655
Gladesville - Huntleys Point,14409,372,86,458,0.0317856894996183,Ryde - Hunters Hill,Sydney - Ryde,Greater Sydney,4495958,0.07729520604952271,-0.045509516549904414
Dural - Kenthurst - Wisemans Ferry,21019,535,109,644,0.03063894571578096,Dural - Wisemans Ferry,Sydney - Baulkham Hills and Hawkesbury,Greater Sydney,4495958,0.07729520604952271,-0.04665626033374175
Redfern - Chippendale,22495,588,94,682,0.030317848410757946,Sydney Inner City,Sydney - City and Inner South,Greater Sydney,4495958,0.07729520604952271,-0.04697735763876476
Fairfield,17704,464,68,532,0.030049706281066426,Fairfield,Sydney - South West,Greater Sydney,4495958,0.07729520604952271,-0.04724549976845628
Bonnyrigg Heights - Bonnyrigg,15980,431,49,480,0.030037546933667083,Fairfield,Sydney - South West,Greater Sydney,4495958,0.07729520604952271,-0.047257659115855624
Bradbury - Wedderburn,18962,454,112,566,0.02984917202826706,Campbelltown (NSW),Sydney - Outer South West,Greater Sydney,4495958,0.07729520604952271,-0.04744603402125565
Botany,10822,261,60,321,0.029661800036961745,Botany,Sydney - City and Inner South,Greater Sydney,4495958,0.07729520604952271,-0.04763340601256097
